날짜,종가,오픈,고가,저가,변동 %
2021년 03월 08일,"1,140.83","1,128.85","1,144.07","1,127.06",1.14%
2021년 03월 05일,"1,128.00","1,131.03","1,137.27","1,124.04",-0.25%
2021년 03월 04일,"1,130.87","1,127.05","1,133.06","1,123.36",0.43%
2021년 03월 03일,"1,126.05","1,125.29","1,128.05","1,116.95",0.09%
2021년 03월 02일,"1,125.01","1,113.53","1,128.28","1,102.06",1.05%
2021년 03월 01일,"1,113.33","1,124.89","1,125.15","1,113.09",-0.94%
2021년 02월 26일,"1,123.89","1,119.47","1,130.33","1,118.41",0.46%
2021년 02월 25일,"1,118.77","1,107.54","1,121.61","1,105.70",1.04%
2021년 02월 24일,"1,107.27","1,110.22","1,113.75","1,106.08",-0.26%
2021년 02월 23일,"1,110.13","1,112.58","1,114.81","1,108.24",-0.13%
2021년 02월 22일,"1,111.59","1,106.02","1,116.10","1,102.83",0.66%
2021년 02월 19일,"1,104.27","1,107.08","1,111.28","1,102.22",-0.24%
2021년 02월 18일,"1,106.96","1,106.50","1,110.15","1,103.19",0.12%
2021년 02월 17일,"1,105.61","1,107.58","1,110.81","1,104.49",-0.09%
2021년 02월 16일,"1,106.58","1,102.31","1,109.55","1,096.91",0.48%
2021년 02월 15일,"1,101.31","1,104.37","1,106.00","1,100.70",-0.12%
2021년 02월 12일,"1,102.59","1,103.12","1,107.59","1,101.73",0.04%
2021년 02월 11일,"1,102.12","1,106.48","1,108.02","1,102.05",-0.30%
2021년 02월 10일,"1,105.48","1,111.01","1,114.16","1,103.59",-0.49%
2021년 02월 09일,"1,110.88","1,117.31","1,118.75","1,110.08",-0.42%
2021년 02월 08일,"1,115.61","1,117.76","1,122.17","1,116.05",-0.10%
2021년 02월 05일,"1,116.77","1,120.11","1,127.85","1,116.22",-0.29%
2021년 02월 04일,"1,120.00","1,113.58","1,122.74","1,112.48",0.59%
2021년 02월 03일,"1,113.46","1,115.51","1,117.25","1,111.80",-0.17%
2021년 02월 02일,"1,115.37","1,117.44","1,119.70","1,113.65",-0.10%
2021년 02월 01일,"1,116.51","1,118.43","1,120.98","1,115.55",-0.10%
2021년 01월 29일,"1,117.64","1,113.24","1,121.76","1,112.15",0.46%
2021년 01월 28일,"1,112.52","1,108.42","1,121.36","1,107.49",0.37%
2021년 01월 27일,"1,108.38","1,102.01","1,109.90","1,100.87",0.67%
2021년 01월 26일,"1,101.02","1,102.69","1,108.24","1,100.47",-0.14%
2021년 01월 25일,"1,102.58","1,105.54","1,105.92","1,100.05",-0.26%
2021년 01월 22일,"1,105.41","1,099.97","1,107.29","1,098.95",0.50%
2021년 01월 21일,"1,099.88","1,097.35","1,102.67","1,096.59",0.32%
2021년 01월 20일,"1,096.35","1,102.44","1,103.39","1,096.88",-0.46%
2021년 01월 19일,"1,101.44","1,104.18","1,106.17","1,100.20",-0.10%
2021년 01월 18일,"1,102.52","1,104.26","1,108.42","1,102.28",-0.07%
2021년 01월 15일,"1,103.27","1,096.04","1,105.33","1,094.93",0.67%
2021년 01월 14일,"1,095.88","1,098.11","1,103.42","1,093.93",-0.11%
2021년 01월 13일,"1,097.12","1,094.60","1,099.33","1,092.37",0.24%
2021년 01월 12일,"1,094.48","1,097.38","1,103.46","1,092.97",-0.25%
2021년 01월 11일,"1,097.23","1,093.01","1,101.05","1,092.73",0.39%
2021년 01월 08일,"1,092.93","1,094.35","1,099.21","1,088.79",-0.12%
2021년 01월 07일,"1,094.28","1,088.03","1,096.78","1,085.42",0.58%
2021년 01월 06일,"1,087.93","1,087.40","1,089.79","1,083.91",0.14%
2021년 01월 05일,"1,086.42","1,086.69","1,090.33","1,082.04",-0.01%
2021년 01월 04일,"1,086.48","1,085.73","1,088.30","1,080.02",0.16%
2021년 01월 01일,"1,084.73","1,085.69","1,086.10","1,085.25",0.02%
2020년 12월 31일,"1,084.47","1,088.43","1,090.35","1,082.97",-0.29%
2020년 12월 30일,"1,087.62","1,091.97","1,093.92","1,084.52",-0.31%
2020년 12월 29일,"1,090.97","1,097.30","1,098.57","1,090.63",-0.42%
2020년 12월 28일,"1,095.60","1,100.08","1,103.55","1,093.51",-0.32%
2020년 12월 25일,"1,099.07","1,102.66","1,102.81","1,100.03",-0.23%
2020년 12월 24일,"1,101.59","1,106.87","1,107.47","1,100.48",-0.46%
2020년 12월 23일,"1,106.65","1,109.94","1,111.05","1,104.68",-0.28%
2020년 12월 22일,"1,109.72","1,104.31","1,111.05","1,102.46",0.65%
2020년 12월 21일,"1,102.55","1,099.48","1,112.74","1,097.94",0.29%
2020년 12월 18일,"1,099.39","1,094.01","1,100.78","1,092.34",0.58%
2020년 12월 17일,"1,093.01","1,094.12","1,095.43","1,090.27",0.06%
2020년 12월 16일,"1,092.36","1,089.56","1,096.55","1,088.05",0.27%
2020년 12월 15일,"1,089.43","1,093.32","1,096.14","1,088.49",-0.33%
2020년 12월 14일,"1,093.07","1,091.80","1,094.91","1,088.85",0.13%
2020년 12월 11일,"1,091.67","1,087.34","1,094.56","1,085.27",0.56%
2020년 12월 10일,"1,085.55","1,087.38","1,091.93","1,084.12",-0.09%
2020년 12월 09일,"1,086.48","1,085.79","1,088.97","1,080.82",0.15%
2020년 12월 08일,"1,084.86","1,084.53","1,087.79","1,082.49",0.12%
2020년 12월 07일,"1,083.53","1,083.87","1,088.35","1,080.39",-0.02%
2020년 12월 04일,"1,083.77","1,092.20","1,093.71","1,080.57",-0.76%
2020년 12월 03일,"1,092.08","1,100.16","1,101.91","1,089.70",-0.72%
2020년 12월 02일,"1,100.02","1,106.23","1,107.01","1,099.22",-0.52%
2020년 12월 01일,"1,105.73","1,109.82","1,110.35","1,105.20",-0.32%
2020년 11월 30일,"1,109.32","1,105.02","1,110.34","1,103.20",0.44%
